,media,care_p-val,fairness_p-val,authority_p-val,loyalty_p-val,sanctity_p-val,care_es,fairness_es,authority_es,loyalty_es,sanctity_es,Entity
0,alj-bbc,0.010369096426114926,0.05005629642450784,0.02019812212356833,0.02756570919958475,0.02626258758539568,0.24226448372771126,0.19028836387715903,0.2230811728587256,0.21087669799132672,0.21323370073427436,Palestine
1,fox-bbc,0.46163589073543354,0.1583069569651478,0.10870631177373306,0.33385868264213103,0.07530311485452888,0.10956632277741306,0.20789969642637277,0.23653199841762093,0.14205888044928566,0.2625514714481922,Palestine
2,alj-fox,0.3039892368814789,0.8977553581501747,0.9518154136170892,0.5756253012625685,0.7425956648815979,0.13196873868381895,0.016719315922695367,0.007713294814078113,0.07115405642178008,0.04189681072446246,Palestine
0,alj-bbc,0.01939013488936445,0.006161726523771788,0.005801023188506906,0.020278948514907965,0.03456575667451446,0.30510217965790665,0.35806579565562036,0.36091978003601793,0.3029441658721079,0.2754591594552174,Hamas
1,fox-bbc,0.010825848828275706,0.0005049077172973695,0.002238629058786736,0.0052685881059085435,0.000896059998821049,0.2694461653714912,0.3733993308979914,0.3257803499126527,0.29785539406480915,0.35660138500904204,Hamas
2,alj-fox,0.9576649839906556,0.6358649898537846,0.974961727060637,0.8438461214063997,0.30331357662296066,0.005460501101091909,0.04887019255036101,0.0032535286398032094,0.02049182833758273,0.10690460010891258,Hamas
0,alj-bbc,6.635862591799258e-07,8.092512197247202e-06,1.4204275374120386e-07,4.193089131760671e-09,5.140099633602037e-09,0.2520313206853556,0.22210855000529464,0.2640487575087653,0.2977975115088086,0.29355852520037884,Israel
1,fox-bbc,1.3655782010451283e-08,4.788714963008637e-16,4.326293092597224e-15,2.8951929993391736e-09,2.8697099908469e-17,0.30447983849969956,0.4416824969152435,0.4267205371046374,0.32028889474054106,0.46095635557718556,Israel
2,alj-fox,1.7879940245482127e-33,3.4447143535013295e-47,6.72098839465405e-51,4.277855371410094e-41,8.562607579321502e-60,0.5579299027317799,0.6599794454261088,0.6904503137270233,0.6193463806256214,0.7541443030459639,Israel
0,alj-bbc,0.43644063929460664,0.08501245096693259,0.27616101277670124,0.8942855557806164,0.35657212130658333,0.044471507677105546,0.09869717327765755,0.06223894030147863,0.007586964575704389,0.052679382735724666,Other
1,fox-bbc,0.23887800971516263,0.000813877134060458,0.0025935899737596375,0.20423284280304577,0.005127913920747981,0.09583042105689216,0.2733471913518351,0.2441839195538191,0.10353801089017747,0.2275509212695996,Other
2,alj-fox,0.5180503747859184,0.026108268123424403,0.021910292797463638,0.23196852097751655,0.0281755836335189,0.051338471313517486,0.17920765171806383,0.18086830513028146,0.0947887672166109,0.17373151607754916,Other
